"MAY.NODE10.INTANK2:ULLAGE","","010 1 02 35","(                )","3824.35","L"," -N-       NONE"
" ****************************************************************************************************"
"MAY.NODE10.INTANK3:VOLUME","","010 1 03 33","(                )","5719.14","L"," -N-       NONE"
" ****************************************************************************************************"
"MAY.NODE10.INTANK3:ULLAGE","","010 1 03 35","(                )","3744.86","L"," -N-       NONE"
" ****************************************************************************************************"
"OBR.22100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","15533.64","L"," -N-       NONE"
" ****************************************************************************************************"
"OBR.22100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","4508.36","L"," -N-       NONE"
" ****************************************************************************************************"
"ORG.VR100.INTANK:VOLUME","","004 1 01 33","(VR APPLICATION  )","4248.76","L"," -N-       NONE"
" ****************************************************************************************************"
"ORG.VR100.INTANK:ULLAGE","","004 1 01 35","(VR APPLICATION  )","822.45","L"," -N-       NONE"
" ****************************************************************************************************"
"PRI.22100.INTANK:VOLUME","","007 1 01 33","(                )","20730.45","L"," -N-       NONE"
" ****************************************************************************************************"
"PRI.22100.INTANK:ULLAGE","","007 1 01 35","(                )","14272.56","L"," -N-       NONE"
" ****************************************************************************************************"
"QUE.22100.INTANK:VOLUME","","003 1 01 33","(                )","25976.19","L"," -N-       NONE"
" ****************************************************************************************************"
"QUE.22100.INTANK:ULLAGE","","003 1 01 35","(                )","11877.81","L"," -N-       NONE"
" ****************************************************************************************************"
"RDT.22100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","11521.54","L"," -N-       NONE"
" ****************************************************************************************************"
"RDT.22100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","3480.46","L"," -N-       NONE"
" ****************************************************************************************************"
"ROG.22100.INTANK:VOLUME","","003 1 01 33","(VR APPLICATION  )","3221.04","L"," -N-       NONE"
" ****************************************************************************************************"
"ROG.22100.INTANK:ULLAGE","","003 1 01 35","(VR APPLICATION  )","1352.35","L"," -N-       NONE"
" ****************************************************************************************************"
"SMT1.22100.INTANK:VOLUME","","002 1 01 33","(                )","3811.50","L"," -N-       NONE"
" ****************************************************************************************************"
"SMT1.22100.INTANK:ULLAGE","","002 1 01 35","(                )","736.51","L"," -N-       NONE"
" ****************************************************************************************************"
"UNIVDR.VR100.INTANK:VOLUME","","002 1 01 33","(                )","1858.44","L"," -N-       NONE"
" ****************************************************************************************************"
"UNIVDR.VR100.INTANK:ULLAGE","","002 1 01 35","(                )","615.57","L"," -N-       NONE"
" ****************************************************************************************************"
"UWH.22100.INTANK:VOLUME","","003 1 01 33","(                )","10037.82","GAL"," *F*       NONE"
" ****************************************************************************************************"
"UWH.22100.INTANK:ULLAGE","","003 1 01 35","(                )","4801.56","GAL"," *F*       NONE"
" ****************************************************************************************************"
"VNF.VR100.INTANK:VOLUME","","003 1 01 33","(VR APPLICATION  )","7937.91","L"," -N-       NONE"
" ****************************************************************************************************"
"VNF.VR100.INTANK:ULLAGE","","003 1 01 35","(VR APPLICATION  )","2062.85","L"," -N-       NONE"
" ****************************************************************************************************"
"WIL.22100.INTANK:VOLUME","","001 1 01 33","(                )","9061.29","GAL"," -N-       NONE"
" ****************************************************************************************************"
"WIL.22100.INTANK:ULLAGE","","001 1 01 35","(                )","1066.71","GAL"," -N-       NONE"
" ****************************************************************************************************"
"YOR.22100.INTANK:VOLUME","","006 1 01 33","(VR INTEGRATION  )","6082.50","L"," -N-       NONE"
" ****************************************************************************************************"
"YOR.22100.INTANK:ULLAGE","","006 1 01 35","(VR INTEGRATION  )","3917.50","L"," -N-       NONE"
" ****************************************************************************************************"
" ****************************************** End of Report *******************************************"
